User_id;Nick in Pokemon Go;Friendship code in Pokemon Go;Level in Pokemon Go;Nick in Pokemon Unite;Friendship code in Pokemon Unite;Number of messages;Number of leader raids;Number of raid participants;Number of wins in rock paper scissors
;69MrJlink;123456789012;42;69MrJlnik;Temp12;0;0;0;0
;Test;test;42;Test;Temp1;0;0;0;0
;69MrJlink;355378224128;42;-;-;3880;17;10;95
;Lishakene;833316006724;45;TXC_Lisha;K5F16P8;4373;96;29;901
;TFAdrenalin;494460564174;41;Toxic_Caesar;Y762P5E;2646;12;11;21
;mvrdges;551613384644;36;AriaHansen;G5QCE4N;2993;5;40;47
;ToxicFoxBoy;597838328584;45;Toxic_FoxBoy;9ENK327;6138;45;3;54
;69Santis;822051421620;37;-;-;3478;31;32;107
;miki54f;294881015125;38;-;-;1750;6;8;14
;grinowl;750042921874;35;owls1995owls;2NAHXFX;5678;0;15;154
;0;0;0;0;0;2157;0;0;8
;0;0;0;0;0;100;0;7;0
;SivochaLove;735528905377;33;_WebLove_;XPYXNE1;360;0;5;1
;0;0;0;0;0;1196;0;0;4
;LLaPb1377;419061719516;39;-;-;1841;0;6;30
;Ta6ypeTka88;964834880317;38;-;-;797;0;13;5
;antixristiso;179545924960;35;0;0;431;0;21;10
;0;0;0;0;0;22;0;6;0
;0;0;0;0;0;36;0;9;0
;0;0;0;0;0;3;0;0;0
;69Krotik92;452262677454;43;-;-;82;0;12;10
;Eleonorochka;56338439961;34;-;-;27;0;16;1
;69kgshniik;525759899261;43;-;-;370;0;21;6
;0;0;0;0;0;4;0;1;0
;69Dalakrua;223823653639;38;-;-;75;0;4;0
;0;0;0;0;0;21;0;0;0
;TERRERRORR;669804570;43;TERRERRORR;TXPP4AX;1835;3;0;29
;69DARtSiriuS;938137198222;41;-;-;160;0;8;0
;Dorkeeer;308996141777;26;-;-;47;0;1;0
;WHZantiwork;772862228298;32;-;-;34;0;2;0
;69Redkii;773888131424;50;-;-;1425;0;0;0
;0;0;0;0;0;66;0;0;0
;Pokedeks9372;994038703666;34;-;-;64;0;0;0
;0;0;0;0;0;14;0;1;0
;DedushkaJZX;207300228300;29;-;-;454;8;14;1
;Adrellin;935973275392;41;-;-;1876;6;2;21
;0;0;0;0;0;22;0;0;0
;69mir69;3154991137;41;69mir69;QYT6QC5;4513;9;1;156
;69Gelya;898836168269;37;-;-;33;0;1;0
;0;0;0;0;0;16;0;0;0
;0;0;0;0;0;48;0;0;2
;0;0;0;0;0;5;0;0;0
